C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_DAILY,AEMO,PUBLIC,2016/08/30,04:39:55,0000000274477231,,0000000274477229
I,OPERATIONAL_DEMAND,ACTUAL,1,REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND,LASTCHANGED
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 04:30:00",6583,"2016/08/29 04:31:17"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 05:00:00",6725,"2016/08/29 05:00:49"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 05:30:00",7090,"2016/08/29 05:30:21"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 06:00:00",7593,"2016/08/29 06:01:17"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 06:30:00",8414,"2016/08/29 06:30:49"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 07:00:00",9195,"2016/08/29 07:00:21"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 07:30:00",9567,"2016/08/29 07:31:16"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 08:00:00",9774,"2016/08/29 08:00:48"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 08:30:00",9740,"2016/08/29 08:30:22"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 09:00:00",9540,"2016/08/29 09:01:22"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 09:30:00",9399,"2016/08/29 09:30:56"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 10:00:00",9257,"2016/08/29 10:00:29"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 10:30:00",9155,"2016/08/29 10:30:22"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 11:00:00",8952,"2016/08/29 11:00:09"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 11:30:00",8780,"2016/08/29 11:31:09"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 12:00:00",8627,"2016/08/29 12:00:44"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 12:30:00",8427,"2016/08/29 12:30:18"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 13:00:00",8288,"2016/08/29 13:01:17"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 13:30:00",8234,"2016/08/29 13:30:49"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 14:00:00",8271,"2016/08/29 14:00:22"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 14:30:00",8327,"2016/08/29 14:31:21"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 15:00:00",8352,"2016/08/29 15:00:56"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 15:30:00",8318,"2016/08/29 15:30:30"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 16:00:00",8481,"2016/08/29 16:00:04"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 16:30:00",8640,"2016/08/29 16:31:03"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 17:00:00",8920,"2016/08/29 17:00:37"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 17:30:00",9385,"2016/08/29 17:30:12"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 18:00:00",10079,"2016/08/29 18:01:10"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 18:30:00",10512,"2016/08/29 18:30:44"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 19:00:00",10535,"2016/08/29 19:00:18"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 19:30:00",10295,"2016/08/29 19:31:17"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 20:00:00",10057,"2016/08/29 20:00:51"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 20:30:00",9924,"2016/08/29 20:30:25"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 21:00:00",9638,"2016/08/29 21:01:24"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 21:30:00",9396,"2016/08/29 21:30:58"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 22:00:00",9018,"2016/08/29 22:00:32"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 22:30:00",8911,"2016/08/29 22:30:07"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 23:00:00",8598,"2016/08/29 23:01:07"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/29 23:30:00",8440,"2016/08/29 23:30:42"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/30 00:00:00",8329,"2016/08/30 00:00:15"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/30 00:30:00",8165,"2016/08/30 00:31:13"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/30 01:00:00",7962,"2016/08/30 01:00:47"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/30 01:30:00",7763,"2016/08/30 01:30:21"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/30 02:00:00",7574,"2016/08/30 02:01:21"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/30 02:30:00",7267,"2016/08/30 02:30:56"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/30 03:00:00",6944,"2016/08/30 03:00:31"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/30 03:30:00",6808,"2016/08/30 03:30:05"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/30 04:00:00",6673,"2016/08/30 04:01:07"
D,OPERATIONAL_DEMAND,ACTUAL,1,QLD1,"2016/08/29 04:30:00",5030,"2016/08/29 04:31:17"
D,OPERATIONAL_DEMAND,ACTUAL,1,QLD1,"2016/08/29 05:00:00",5124,"2016/08/29 05:00:49"
D,OPERATIONAL_DEMAND,ACTUAL,1,QLD1,"2016/08/29 05:30:00",5358,"2016/08/29 05:30:21"
D,OPERATIONAL_DEMAND,ACTUAL,1,QLD1,"2016/08/29 06:00:00",5622,"2016/08/29 06:01:17"
D,OPERATIONAL_DEMAND,ACTUAL,1,QLD1,"2016/08/29 06:30:00",6036,"2016/08/29 06:30:49"
D,OPERATIONAL_DEMAND,ACTUAL,1,QLD1,"2016/08/29 07:00:00",6376,"2016/08/29 07:00:21"
D,OPERATIONAL_DEMAND,ACTUAL,1,QLD1,"2016/08/29 07:30:00",6554,"2016/08/29 07:31:16"
D,OPERATIONAL_DEMAND,ACTUAL,1,QLD1,"2016/08/29 08:00:00",6497,"2016/08/29 08:00:48"
D,OPERATIONAL_DEMAND,ACTUAL,1,QLD1,"2016/08/29 08:30:00",6333,"2016/08/29 08:30:22"
D,OPERATIONAL_DEMAND,ACTUAL,1,QLD1,"2016/08/29 09:00:00",6135,"2016/08/29 09:01:22"
D,OPERATIONAL_DEMAND,ACTUAL,1,QLD1,"2016/08/29 09:30:00",5972,"2016/08/29 09:30:56"
