C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_DAILY,AEMO,PUBLIC,2016/08/21,04:39:57,0000000274203900,,0000000274203898
I,OPERATIONAL_DEMAND,ACTUAL,1,REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND,LASTCHANGED
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 04:30:00",6361,"2016/08/20 04:30:59"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 05:00:00",6367,"2016/08/20 05:00:31"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 05:30:00",6472,"2016/08/20 05:30:03"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 06:00:00",6602,"2016/08/20 06:01:00"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 06:30:00",6941,"2016/08/20 06:30:32"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 07:00:00",7206,"2016/08/20 07:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 07:30:00",7560,"2016/08/20 07:30:58"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 08:00:00",7907,"2016/08/20 08:00:29"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 08:30:00",8170,"2016/08/20 08:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 09:00:00",8246,"2016/08/20 09:00:56"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 09:30:00",8309,"2016/08/20 09:30:28"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 10:00:00",8173,"2016/08/20 10:00:00"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 10:30:00",8081,"2016/08/20 10:30:56"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 11:00:00",7903,"2016/08/20 11:00:28"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 11:30:00",7696,"2016/08/20 11:30:00"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 12:00:00",7599,"2016/08/20 12:00:56"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 12:30:00",7551,"2016/08/20 12:30:27"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 13:00:00",7482,"2016/08/20 13:01:23"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 13:30:00",7471,"2016/08/20 13:30:55"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 14:00:00",7391,"2016/08/20 14:00:28"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 14:30:00",7371,"2016/08/20 14:31:24"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 15:00:00",7383,"2016/08/20 15:00:54"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 15:30:00",7448,"2016/08/20 15:30:27"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 16:00:00",7635,"2016/08/20 16:01:23"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 16:30:00",7858,"2016/08/20 16:30:55"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 17:00:00",8192,"2016/08/20 17:00:25"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 17:30:00",8510,"2016/08/20 17:31:21"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 18:00:00",9107,"2016/08/20 18:00:52"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 18:30:00",9465,"2016/08/20 18:30:24"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 19:00:00",9451,"2016/08/20 19:01:21"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 19:30:00",9301,"2016/08/20 19:30:53"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 20:00:00",9161,"2016/08/20 20:00:24"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 20:30:00",9029,"2016/08/20 20:31:21"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 21:00:00",8882,"2016/08/20 21:00:53"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 21:30:00",8707,"2016/08/20 21:30:24"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 22:00:00",8552,"2016/08/20 22:01:21"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 22:30:00",8551,"2016/08/20 22:30:53"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/08/20 23:00:00",8412,"2016/08/20 23:00:24"
